ID_MEMORABILIA,SHOW_ID,DATUM,MESTO,STAT,VENUE,KATEGORIE,SOUBOR_SKEN,CONTRIBUTOR,LINEUP,SETLIST,POCET_SKLADEB,SETLIST_URL,YOUTUBE_URL,REVIEW_URL
TICKET_0001,SHOW_2010-10-01_GRONINGEN,2010-10-01,Groningen,Netherlands,"De Oosterpoort, Grote Zaal",tickets,kk-joe-jackson-2010-10-01.jpg,"Bert Bos, Netherlands",,"It's Different for Girls, Tomorrow's World, Citizen Sane, Stranger Than Fiction, Fools in Love, Still Alive, King Pleasure Time, Sunday Papers, Real Men, Girl, The Best I Can Do, A Place in the Rain, Scary Monsters (and Super Creeps), Take It Like a Man, Got the Time, Oh Well, Is She Really Going Out With Him?, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/de-oosterpoort-groningen-netherlands-63dd6a2f.html,,
TICKET_0002,SHOW_2010-10-01_GRONINGEN,2010-10-01,Groningen,Netherlands,"De Oosterpoort, Grote Zaal Computer Ticket",tickets,kk-joe-jackson-2010-10-01-computer.jpg,"Steve Whitbread, U.K.",,"It's Different for Girls, Tomorrow's World, Citizen Sane, Stranger Than Fiction, Fools in Love, Still Alive, King Pleasure Time, Sunday Papers, Real Men, Girl, The Best I Can Do, A Place in the Rain, Scary Monsters (and Super Creeps), Take It Like a Man, Got the Time, Oh Well, Is She Really Going Out With Him?, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/de-oosterpoort-groningen-netherlands-63dd6a2f.html,,
TICKET_0004,SHOW_2010-10-03_EINDHOVEN,2010-10-03,Eindhoven,Netherlands,Airport Zaal,tickets,"kk-joe-jackson-2010-10-03-one-more-time.jpg, kk-joe-jackson-2010-10-03.jpg, kk-joe-jackson-2010-10-03-computer.jpg","Johan Manders, Netherlands",,"It's Different for Girls, Tomorrow's World, Too Tough, Fools in Love, The Uptown Train, Chinatown, Another World, Obvious Song, Eleanor Rigby, Be My Number Two, Invisible Man, Dirty Martini, Oh Well, Good Bad Boy, Is She Really Going Out With Him?, Got the Time, Don't Get Around Much Anymore, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/grote-zaal-eindhoven-netherlands-7bdcaee0.html,,
TICKET_0006,SHOW_2010-10-04_ROTTERDAM,2010-10-04,Rotterdam,Netherlands,De Doelen,tickets,"kk-joe-jackson-2010-10-04-original.jpg, kk-joe-jackson-2010-10-04-computer.jpg, kk-joe-jackson-2010-10-04.jpg","brievb, Netherlands",,"It's Different for Girls, Tomorrow's World, Too Tough, Citizen Sane, Still Alive, Chinatown, The Uptown Train, Awkward Age, Sunday Papers, Life on Mars?, Real Men, Anyone Who Had a Heart, Stranger Than Fiction, King Pleasure Time, Is She Really Going Out With Him?, Got the Time, Another World, Steppin' Out, Home Town",19,https://www.setlist.fm/setlist/joe-jackson/2010/de-doelen-rotterdam-netherlands-63dd6a2b.html,,
